County,County_encoded
San Diego County,38
Orange County,31
Riverside County,34
San Luis Obispo County,40
Alameda County,0
San Diego County,38
San Mateo County,41
Alameda County,0
San Luis Obispo County,40
San Mateo County,41
Los Angeles County,19
San Joaquin County,39
Los Angeles County,19
San Joaquin County,39
Sacramento County,35
Los Angeles County,19
Yuba County,58
Los Angeles County,19
Los Angeles County,19
Santa Clara County,43
Santa Clara County,43
San Diego County,38
Sacramento County,35
Orange County,31
Los Angeles County,19
Santa Cruz County,44
Santa Clara County,43
San Luis Obispo County,40
Alameda County,0
Riverside County,34
San Joaquin County,39
Riverside County,34
Santa Barbara County,42
San Mateo County,41
Tulare County,54
Orange County,31
Los Angeles County,19
San Diego County,38
Santa Clara County,43
Riverside County,34
San Bernardino County,37
San Diego County,38
Yolo County,57
Sacramento County,35
Solano County,48
San Bernardino County,37
Santa Clara County,43
San Diego County,38
Santa Clara County,43
San Diego County,38
Los Angeles County,19
Los Angeles County,19
Sacramento County,35
Los Angeles County,19
San Bernardino County,37
Fresno County,10
Los Angeles County,19
Fresno County,10
San Bernardino County,37
Fresno County,10
Tulare County,54
Sacramento County,35
Humboldt County,12
Monterey County,27
Orange County,31
El Dorado County,9
Alameda County,0
Contra Costa County,6
Orange County,31
Los Angeles County,19
Kern County,15
Los Angeles County,19
Los Angeles County,19
Alameda County,0
Orange County,31
Stanislaus County,50
Kern County,15
Tulare County,54
Santa Barbara County,42
San Benito County,36
Los Angeles County,19
Los Angeles County,19
Los Angeles County,19
San Mateo County,41
San Diego County,38
Ventura County,56
Alameda County,0
San Mateo County,41
San Mateo County,41
Alameda County,0
Los Angeles County,19
Orange County,31
Alameda County,0
Los Angeles County,19
Los Angeles County,19
El Dorado County,9
Los Angeles County,19
Los Angeles County,19
Sierra County,46
Placer County,32
Alameda County,0
Mendocino County,23
Los Angeles County,19
San Bernardino County,37
Orange County,31
Stanislaus County,50
Alameda County,0
Placer County,32
Orange County,31
Los Angeles County,19
Fresno County,10
Riverside County,34
Los Angeles County,19
Kings County,16
Los Angeles County,19
Los Angeles County,19
Orange County,31
Los Angeles County,19
Alameda County,0
San Diego County,38
San Bernardino County,37
Ventura County,56
San Diego County,38
San Bernardino County,37
Los Angeles County,19
San Diego County,38
Kern County,15
Los Angeles County,19
Los Angeles County,19
Los Angeles County,19
Los Angeles County,19
Los Angeles County,19
Orange County,31
Los Angeles County,19
Sacramento County,35
Contra Costa County,6
Los Angeles County,19
Los Angeles County,19
Los Angeles County,19
Ventura County,56
Los Angeles County,19
Orange County,31
Santa Clara County,43
Orange County,31
Los Angeles County,19
Los Angeles County,19
Ventura County,56
Ventura County,56
San Bernardino County,37
Fresno County,10
Sonoma County,49
San Joaquin County,39
Fresno County,10
Sacramento County,35
Los Angeles County,19
Kern County,15
Los Angeles County,19
Stanislaus County,50
Orange County,31
San Mateo County,41
Alameda County,0
Los Angeles County,19
Los Angeles County,19
Los Angeles County,19
Santa Clara County,43
Los Angeles County,19
Los Angeles County,19
Humboldt County,12
Riverside County,34
Alameda County,0
San Diego County,38
San Diego County,38
Los Angeles County,19
Los Angeles County,19
Los Angeles County,19
Riverside County,34
Monterey County,27
Santa Clara County,43
Glenn County,11
San Diego County,38
Los Angeles County,19
Los Angeles County,19
Orange County,31
Santa Clara County,43
San Diego County,38
San Diego County,38
Los Angeles County,19
Los Angeles County,19
Los Angeles County,19
Los Angeles County,19
Los Angeles County,19
Alameda County,0
Alameda County,0
San Bernardino County,37
San Bernardino County,37
Alameda County,0
San Bernardino County,37
San Diego County,38
Ventura County,56
Los Angeles County,19
San Mateo County,41
Kern County,15
Orange County,31
Los Angeles County,19
Orange County,31
Imperial County,13
Los Angeles County,19
Los Angeles County,19
Santa Clara County,43
Alameda County,0
Monterey County,27
Sacramento County,35
Los Angeles County,19
Marin County,21
Stanislaus County,50
Solano County,48
Riverside County,34
San Luis Obispo County,40
Contra Costa County,6
Orange County,31
Orange County,31
Napa County,29
Los Angeles County,19
Los Angeles County,19
San Mateo County,41
Marin County,21
Los Angeles County,19
Tulare County,54
San Bernardino County,37
San Diego County,38
Imperial County,13
Los Angeles County,19
Monterey County,27
San Mateo County,41
Siskiyou County,47
San Bernardino County,37
Los Angeles County,19
Orange County,31
Los Angeles County,19
Contra Costa County,6
Riverside County,34
Los Angeles County,19
Los Angeles County,19
Nevada County,30
San Diego County,38
Los Angeles County,19
Santa Clara County,43
Contra Costa County,6
Monterey County,27
San Mateo County,41
Los Angeles County,19
Alameda County,0
Ventura County,56
Orange County,31
San Joaquin County,39
Orange County,31
Santa Clara County,43
Santa Barbara County,42
Los Angeles County,19
San Bernardino County,37
Santa Barbara County,42
Santa Clara County,43
Los Angeles County,19
Contra Costa County,6
Los Angeles County,19
Orange County,31
San Joaquin County,39
Los Angeles County,19
Orange County,31
Los Angeles County,19
Mendocino County,23
Santa Cruz County,44
Kern County,15
San Joaquin County,39
Los Angeles County,19
Siskiyou County,47
San Bernardino County,37
Solano County,48
Orange County,31
San Joaquin County,39
Riverside County,34
San Bernardino County,37
Orange County,31
San Diego County,38
San Joaquin County,39
Los Angeles County,19
Santa Clara County,43
Los Angeles County,19
Alameda County,0
Alameda County,0
Merced County,24
Orange County,31
Los Angeles County,19
Los Angeles County,19
San Diego County,38
Kern County,15
Stanislaus County,50
Los Angeles County,19
Mendocino County,23
Merced County,24
Los Angeles County,19
San Diego County,38
Los Angeles County,19
Orange County,31
Los Angeles County,19
San Diego County,38
Los Angeles County,19
San Mateo County,41
Santa Clara County,43
Alameda County,0
Los Angeles County,19
San Diego County,38
Monterey County,27
Sonoma County,49
Sacramento County,35
Orange County,31
Riverside County,34
San Diego County,38
Los Angeles County,19
Los Angeles County,19
San Diego County,38
Sacramento County,35
Orange County,31
Mendocino County,23
Contra Costa County,6
Tehama County,52
Orange County,31
Alameda County,0
Stanislaus County,50
Los Angeles County,19
San Diego County,38
Santa Clara County,43
Orange County,31
Santa Barbara County,42
Merced County,24
Orange County,31
Placer County,32
San Diego County,38
San Joaquin County,39
Los Angeles County,19
Los Angeles County,19
Alameda County,0
Santa Clara County,43
Los Angeles County,19
Los Angeles County,19
Contra Costa County,6
Tulare County,54
Tulare County,54
Santa Clara County,43
Los Angeles County,19
Alameda County,0
