Road,Road_encoded
Rancho Park Drive,6497
45th Street,93
Main Street,4751
1st Street,41
Alvarado Boulevard,329
Highland Avenue,3743
Los Trancos Road,4664
Queen's Road,6447
Traffic Way,8156
Tioga Drive,8102
Long Beach Freeway,4615
Sapphire Court,7056
Liberty Boulevard,4494
Lower Sacramento Road,4684
Kiefer Boulevard,4181
West 190th Street,8607
Arthur Street,489
Carson Street,1447
Chestnut Street,1608
Greenlake Drive,3504
Quail Run Court,6437
Jouglard Street,4087
Blackthorne Way,896
Candy Lane,1376
Peck Road,6163
Bear Creek Road,746
Park Avenue,6066
Rose Court,6779
Paradise Knoll,6057
1st Street,41
East Miner Avenue,2610
West Latham Avenue,8806
Miradero Drive,5103
Harrow Avenue,3625
North School Street,5700
East Alder Street,2375
Moorpark Street,5194
Beaver Lake Drive,753
Carol Drive,1430
Keith Street,4140
West Valley Boulevard,8942
Eucalyptus Avenue,2971
Pumphouse Road,6426
Oak Avenue,5784
Sacramento Street,6861
Old Saw Mill Roadbed,5880
Portland Avenue,6358
North Vine Street,5730
Lytton Avenue,4715
Glorietta Boulevard,3396
East Colorado Street,2466
Price Street,6396
19th Street,39
3rd Avenue,83
Rancho Street,6499
West Rose Avenue,8895
Park Street,6077
Wild Iris Lane,9022
Dos Palmas Road,2245
East California Avenue,2439
Road 216,6682
Cleveland Avenue,1711
1st Street,41
Cypress Street,2021
I 405 Express,3898
Lake Tahoe Boulevard,4331
Atwal Court,526
De Anza Drive,2083
San Remo Drive,6975
Peck Road,6163
El Rancho Place,2851
Central Avenue,1527
San Gabriel River Bike Path,6943
Encinal Avenue,2926
Baronet Place,702
North Avenue,5448
Canyon Drive West,1387
Avenue 184,572
Calle Lindero,1281
Lanini Drive,4368
West Mandeville Ridge Trail,8834
Bandera Street,667
Summer Avenue,7860
Alameda de las Pulgas,224
San Carlos,6922
Los Robles Trail West,4662
Sweetbriar Place,7945
Niantic Avenue,5376
California Coastal Trail,1252
Market Street,4830
Carlton Way,1416
South Nutwood Street,7568
Thomas Avenue,8066
North Fair Oaks Avenue,5522
Haven Street,3644
Jacarillo Trail,3988
Acresite Street,180
Lariat Lane,4377
Quill Drive,6451
Granada Lane,3449
Gray Fox Circle,3473
1st Street,41
Leffingwell Road,4452
Live Oak Avenue,4556
La Veta Avenue,4296
Pelandale Avenue,6169
159th Avenue,25
North Star Street,5709
Morrow Circle,5221
Priam Drive,6394
Arden Drive West,437
Kirk Douglas Way,4205
East 40th Place,2348
West Lacey Boulevard,8802
Santa Fe Avenue,7019
Bartlett Avenue,708
Thompson Drive,8072
John Street,4065
Farnsworth Street,3050
54th Street,106
Live Oak Avenue,4556
East Janss Road,2556
Poinsettia Avenue,6313
Roosevelt Avenue,6766
Foster Road,3195
Kumeyaay Highway,4240
Astoria Avenue,514
East Colorado Street,2466
Camulos Avenue,1366
Del Mar Avenue,2122
West 7th Street,8646
East Rio Grande Street,2681
Green Valley Avenue,3491
Fairview Avenue,3015
Krishna Drive,4236
Claudia Court,1691
Nylic Court,5775
East 32nd Street,2343
Arrow Highway,472
South Victoria Avenue,7664
Spear Street,7711
Beach Boulevard,736
Chynoweth Avenue,1643
North Sacramento Street,5690
25th Street,58
Studebaker Road,7853
Telephone Road,8020
Ashwood Court,505
Gayhead Road,3310
East McKinley Avenue,2605
Asti Road,512
West Lodi Avenue,8818
Jennings Street,4035
Cleveland Avenue,1711
Rimgrove Drive,6627
Camino Oso,1339
Foster Road,3195
West Whitmore Avenue,8956
South El Camino Real,7451
Edinburgh Street,2791
Venus Street,8343
Normandie Avenue,5416
Clay Street,1697
McKinney Way,4933
Olive Branch Lane,5898
Santa Ana Freeway,7005
1st Street,41
Redwood Highway,6553
Alta Loma Drive,318
Hafner Street,3555
49th Street,99
Neptune Avenue,5346
Monteria Lake Association,5181
South Carmelo Avenue,7413
East 4th Street,2352
Polk Street,6324
Middle Ranch Road,5037
Story Road,7838
County Road 14,1900
East 16th Street,2331
Slater Avenue,7311
South Tremaine Avenue,7651
McDowell Road Southwest,4923
Weepinggate Lane,8576
Freda Lane,3221
Gala Avenue,3266
East 95th Street,2367
9th Street,149
Irving Place,3972
South Harbor Boulevard,7486
McAllister Street,4906
Telegraph Avenue,8017
Los Angeles Avenue,4644
Lawton Street,4433
Avenue D,602
Whitney Place,9012
West 33rd Street,8624
Glenhaven Way,3383
Burnside Avenue,1155
Walnut Drive,8517
Gerry Mon Memorial Bike Path,3336
10th Place,6
South Nutwood Street,7568
Strathmore Drive,7842
Avenida de la Vista,560
Clifford Road,1717
Cherokee Lane,1590
Elmfield Avenue,2894
Pierino Avenue,6226
Caselli Avenue,1464
South San Lorenzo Avenue,7613
Berg Avenue,810
Pelham Avenue,6170
Seaver Drive,7112
Village Road,8453
Sycamore Drive,7954
Hillside Avenue,3774
Vista Del Largo Place,8482
Beatrice Road,750
South Manchester Avenue,7542
Bayside Drive,731
Summit Lake Drive,7876
Cory Drive,1872
West 166th Street,8602
Valota Road,8309
Pepper Avenue,6187
1st Street,41
Avenue 271,581
Navy Road,5330
Lynwood Drive,4711
Hartshorn Road,3633
Knox Street,4226
Highland Street,3748
Provident Drive,6416
Forest Route 41N86,3181
Acoma Trail,170
Orange Freeway,5932
Valley View Street,8307
Mart Drive,4846
Heavenly Ridge Lane,3679
Sugar Hill Road,7857
North Broadway,5474
California Avenue,1249
Single Tree Lane,7279
30th Street,67
Virginia Road,8474
Ames Avenue,355
Lakemont Place,4335
San Juan Grade Road,6952
Scenic Drive,7074
Arenth Avenue,447
Rosedale Avenue,6784
Woodland Drive,9125
West Broadway,8692
Lode Street,4580
Costa Mesa Street,1874
Spreckles Avenue,7724
Riverside Bike Path,6660
Oxnard Street,5992
South Arrowhead Avenue,7377
East Main Street,2593
Murtha Drive,5299
Myrtle Avenue,5303
Moraga Way,5198
Front Street,3244
Shamrock Avenue,7170
Baker Road,641
Wesley Avenue,8587
North Lemon Hill Trail,5590
Stanford Avenue,7765
West Standley Street,8921
East Riverside Drive,2685
Normandy Drive,5418
Ned Griffith Lane,5334
Flower Street,3154
Heather Place,3675
East F Street,2498
Sievers Road,7255
Beacon Bay,741
South Filbert Street,7463
Park Avenue,6066
Desert Discovery Path,2160
South Paula Drive,7581
Rose Creek Bike Trail,6780
Bono Lane,973
Playa Court,6281
El Camino Real,2816
Cortland Avenue,1868
Harmon Street,3611
Gladstone Drive,3358
Cressey Way,1965
Mac Duff Street,4720
Avenue E,603
Cypress Avenue,2019
Quill Drive,6451
1st Street,41
East Canal Drive,2443
John Street,4065
1st Street,41
Bellevue Road,791
Grand View Drive,3452
J Street,3987
East Mauretania Street,2603
Quill Drive,6451
Canton Street,1383
Rimrock Drive,6630
Broadway,1066
Hudson Street,3861
Hellyer Avenue,3691
Lyman Road,4701
4N35,100
Bayshore Bikeway,728
1st Street,41
Brack Road,1008
Rivergreen Drive,6657
Calle Amanecer,1264
Anza Road,402
Camino Raposa,1343
West Covina Parkway,8724
La Riata Drive,4286
Dugan Avenue,2283
58th Street,113
Beach Terrace Drive,738
Rivers End Road,6658
Lee Lane,4449
Aloha Street,308
Kelley Place,4146
Third Street,8063
Brie Circle,1052
Flora Avenue,3142
University Avenue,8257
Abinante Lane,157
North Crossgate Street,5498
West Los Olivos Street,8822
Tyler Road,8238
Paseo Crucero,6111
Amber Lane,342
Camulos Street,1367
Coronado Avenue,1847
Matchleaf Avenue,4871
San Diego Freeway,6929
Colby Street,1755
Palo Alto Avenue,6030
Garden Grove Avenue,3282
Paramount Boulevard,6062
Tortoise Place,8135
South Garden Street,7473
Kaiser Creek Avenue,4114
Barack Obama Boulevard,677
San Gabriel River Trail,6945
Fitzgerald Avenue,3122
West Commonwealth Avenue,8719
Branford Road,1024
Greenwich Street,3510
Bay Road,723
Del Poniente Road,2131
Valley Boulevard,8295
North Fair Oaks Avenue,5522
Hauser Boulevard,3643
Treadwell Street,8168
Park Avenue,6066
East Monrovia Place,2614
Edinger Avenue,2792
Sawtooth Drive,7070
Jerrold Avenue,4042
West Griffith Way,8765
Mira Loma Drive,5096
Pluto Street,6304
Main Street,4751
Alder Drive,239
Willow Brook Avenue,9045
Cardona Circle,1405
North Main Street,5607
Thornton Avenue,8078
School Street,7085
Ardmore Avenue,443
Riverside Boulevard,6661
Delta De Anza Regional Trail,2144
Carey Drive,1406
South Golden State Boulevard,7478
Gibson Road,3341
Menlo Avenue,4989
South Genesee Avenue,7476
3rd Avenue,83
Pier 3 promenade,6221
North Paseo de Anza,5656
Strawbridge Court,7845
Falda Avenue,3030
Howard Street,3852
Clairemont Mesa Boulevard,1669
Edwards Loop Trail,2801
Marshall Boulevard,4844
East Cesar E Chavez Avenue,2453
North B Street,5450
Sunny Hill Road,7896
14th Street,22
6th Street East,126
1st Street,41
Junipero Serra Freeway,4109
West Metropolitan Drive,8843
1st Street,41
South Portal Avenue,7593
East Sierra Avenue,2707
West 77th Street,8645
South Brookhurst Street,7405
Vena Avenue,8335
9th Street,149
East Madill Street,2591
Charlesworth Avenue,1577
CA 12;CA 29,1180
1st Street,41
Citron Ave Fire Road,1658
Alley n/o Olive Avenue,287
2nd Avenue,64
North Park Drive,5654
West Olive Avenue,8859
Garden Lane,3284
40th Avenue,85
Robertson Park Road,6704
Airport Boulevard,212
South La Cienega Boulevard,7517
Andrews Drive,380
North Raymond Avenue,5672
North Frederic Street,5537
Tennessee Street,8028
Aileen Street,207
Jarvis Avenue,4014
The Alameda,8050
West 37th Place,8626
West 21st Street,8612
West Roosevelt Avenue,8893
